"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YARKWIWV","journalArticle","","","Inter-software and inter-scan variability in measurement of epicardial adipose tissue: a three-way comparison of a research-specific  a freeware and a coronary application software platform ObjectivesEpicardial adipose tissue (EAT) is a proposed marker of cardiovascular risk","","","","","","With the development of complexity in complex equipment, the selection of suppliers referred to several groups. How to select the suppliers for the complex equipment under several groups becomes an important topic. To solve the problem, a two-level consensus reaching process is designed to select the suppliers of the complex equipment in uncertain environments. First, considering the fuzzy environment of selection, the cloud model, which could reflect the fuzziness and randomness, is used to present the uncertain preferences of the decision-makers. Then, considering the negotiation and interaction of two groups, the bi-level consensus reaching process is established to present the master-slave features of complex equipment. Third, to solve the proposed bi-level model, the improved artificial bee colony is proposed, which adopts the gray wolf algorithm' searching mechanism and levy flying method. The adopted strategies could enhance the searching power of artificial bee colony. Finally, a case study is used to verify the advantages of our study.","","2026-01-27 18:56:23","2026-01-27 18:56:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74BYA7SK","journalArticle","","","Customer-Perceived Value and Social Media Analytics: How Supplier Evaluation Can Benefit from Aspect-Based Sentiment Analysis and Fuzzy Inference","","","","","","Understanding customer-perceived value is essential for driving strategic supplier development and operational excellence in modern supply chains. As customer sentiments increasingly manifest in social media, natural language processing (NLP) techniques carry the potential of extracting actionable insights from unstructured data. This study proposes a novel decision-making model that combines aspect-based sentiment analysis (ABSA) with fuzzy inference systems (FIS) to support supplier evaluation based on customer value perception. Bridging symbolic and sub-symbolic AI, the model quantifies sentiment polarity, subjectivity, and aspect relevance from social media content, integrating this information into a multi-stage fuzzy logic framework for large-scale group decision-making (LSGDM). Unlike conventional supplier evaluation methods, this approach operationalizes concept-level affective information by fusing customer sentiment information with supply chain operational data. An illustrative application in the smartphone industry demonstrates the model's ability to analyze social media data from the X platform and generate quantitative indicators reflecting customer value perception. The model effectively incorporates these insights into supplier evaluation, highlighting suppliers' strengths and areas for improvement. The results show that sentiment-informed supplier assessment enables more responsive and customer-aligned development strategies. The proposed approach highlights the benefits of integrating sentic computing principles into supply chain analytics, showing the model's capability to capture customer perceptions and make them a driver for continuous improvement initiatives in supplier development.","","2026-01-27 18:56:23","2026-01-27 18:56:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWNLRC66","journalArticle","","","A Weighted Two-Hop Raft Consensus Mechanism for Large-Scale Agricultural Products Traceability","","","","","","In the face of escalating demands for food safety, blockchain technology has emerged as pivotal tool in enhancing traceability and accountability within the food supply chain. Raft is a consensus mechanism predicated upon voting and is pervasively utilized across diverse domains. Nevertheless, in the agri-food supply chain, numerous participants lead to a large number of consensus-involved nodes. The leader undertakes a huge amount of broadcast communication tasks, resulting in low consensus-reaching efficiency. Also, suppliers may misreport information for self-interest. To address these limitations, this paper proffers a Weighted Two-Hop Raft (WTH-Raft) consensus predicated upon weight apportionment. In this consensus, suppliers are first grouped to achieve two-hop consensuses from the leader to primary suppliers and then to secondary suppliers. Secondly, consensus weights are assigned to suppliers according to their reputation and product quality. This consensus is mainly for agri-food supply chains with numerous suppliers. Simulation experiments show that our proposed WTH-Raft is superior to the comparison methods in terms of delay and throughput. This enhanced approach ensures the stability and efficiency of the consensus among the groups.","","2026-01-27 18:56:23","2026-01-27 18:56:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I54V96P9","journalArticle","","","A novel 4D hybrid decision-making approach and its applications in supplier selection problem","","","","","","Supplier selection is not just a challenge; it's a critical strategic decision that significantly impacts an organization's performance. The complexity arises from the involvement of multiple experts in decision-making, each with their own perspectives and priorities. This diversity often leads to conflicts and uncertainties that must be navigated effectively. One of the key gaps in existing approaches to supplier selection lies in handling these conflicting opinions among experts. To address the gap a novel 4-dimensional hybrid decision-making approach is proposed. By incorporating dynamic feedback mechanisms, dominance considerations, distance metrics, and degree measures, this framework provides a comprehensive solution to the challenges faced in multi-attribute group decision-making. The use of fuzzy set theory, particularly Triangular Fuzzy Numbers (TFNs), is pivotal in capturing the inherent vagueness and uncertainty present in expert's initial opinions. This allows for a more nuanced and realistic representation of expert's perspectives, enhancing the accuracy of the decision-making process. A key feature of the proposed approach is the implementation of an attitudinal consensus threshold (ACT) as part of the dynamic feedback mechanism. This threshold mechanism ensures that evolving opinions and consensus among experts are effectively incorporated into the decision-making process, making the model adaptable to changing circumstances and preferences. Moreover, the framework integrates various measures, including preference relations, distance metrics, and degree measures between alternatives. This holistic approach not only establishes a clear ranking order for alternatives but also provides a deeper understanding of the decision landscape, allowing experts to make more informed and effective choices. To validate the practicality and effectiveness of the proposed methodology, a real-world case study focusing on supplier selection is presented. Through comparative and sensitivity analyses, the research demonstrates how the proposed approach outperforms traditional methods, highlighting its potential to revolutionize decision-making processes in dynamic business environments.","","2026-01-27 18:56:23","2026-01-27 18:56:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJRQ54FL","journalArticle","","","An interaction and feedback mechanism-based group decision-making for emergency medical supplies supplier selection using T-spherical fuzzy information","","","","","","Selecting a supplier for emergency medical supplies during disasters can be considered a typical multiple attribute group decision-making (MAGDM) problem. MAGDM is an intriguing common problem that is rife with ambiguity and uncertainty. It becomes much more challenging when governments and medical care enterprises adjust their priorities in response to the escalating problems and the effectiveness of the actions taken in different countries. As decision-making problems become increasingly complicated nowadays, a growing number of experts are likely to use T-spherical fuzzy sets (T-SFSs) rather than exact numbers. T-SFS is a novel extension of fuzzy sets that can fully convey ambiguous and complicated information in MAGDM. The objective of this paper is to propose a MAGDM methodology based on interaction and feedback mechanism (IFM) and T-SFS theory. In it, we first introduce T-SF partitioned Bonferroni mean (T-SFPBM) and T-SF weighted partitioned Bonferroni mean (T-SFWPBM) operators to fuse the evaluation information provided by experts. Then, an IFM is designed to achieve a consensus between multiple experts. In the meantime, we also find the weights of experts by using T-SF information. Furthermore, in light of the combination of IFM and T-SFWPBM operator, an MAGDM algorithm is designed. Finally, an example of supplier selection for emergency medical supplies is provided to demonstrate the viability of the suggested approach. The influence of parameters on decision results and comparative analysis with the existing methods confirmed the reliability and accuracy of the suggested approach.","","2026-01-27 18:56:23","2026-01-27 18:56:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2BPWWN3","journalArticle","","","Non-cooperative behavior management in group decision making by a conflict resolution process and its implementation for pharmaceutical supplier selection","","","","","","With the increasing popularity of Pharmaceutical Industry 4.0, products and services provided by suppliers play a significantly important role for a pharmaceutical enterprise. To evaluate the performance of suppliers comprehensively regarding multiple criteria, it is necessary to invite inside managers from the enterprise and outside consultants with expertise to form a decision-making committee. Within this context, this study proposes a multi-attribute group decision making model for pharmaceutical supplier selection with internal and external (heterogeneous) experts. Considering the complexity of the decision making environment, we suppose that the experts use triangular fuzzy numbers to express their imprecise information. We identify two kinds of conflicts among experts, and introduce a conflict resolution process with a feedback mechanism. In the feedback mechanism, two non-cooperative behavior management approaches are introduced corresponding to the two kinds of experts. Afterwards, an algorithm for multiple-attribute group decision making with triangular fuzzy numbers and heterogeneous experts is presented. Finally, an illustrative example about pharmaceutical supplier selection is provided to verify the feasibility of the proposed method and some managerial insights are given. (c) 2021 Elsevier Inc. All rights reserved.; The concept of ""Industry 4.0"" was first proposed in the ""HANNOVER MESSE"" in Germany in 2011. Then, China, the USA and Japan promulgated their industrial revolution plans 17. Industry 4.0 mainly contains four parts: Smart Factory, Internet of Services (IoS), Internet of Things (IoT), and Cyber-physical Systems 17. These technologies are helpful for enterprises to achieve flexibility and automation, so as to reduce cost, optimize value chain, and save energy 115. Medicine plays a critical role in the well-being and health of a society. The pharmaceutical industry is in the second lead","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQUE3SQV","journalArticle","","","Consensus reaching model for counter-intuitive in D-S evidence theory and application under 2-tuple linguistic representation","","","","","","In the information fusion field, Dempster-Shafer (D-S) evidence theory is a multi-source technology to solve the uncertain problems. With the aim of improving the decision accuracy, D-S evidence theory can make full use of information from different sources which are redundant and complementary. However, the influence caused by conflicting evidence during information fusion, named the counter-intuitive result, will confuse the selection of decision-makers (DMs). Inspired by the distance-based uncertainty measure, which is a typical technique used to manage uncertain information, the consensus reaching model is applied to overcome the influence caused by conflicting evidence in this paper. Considering the hesitant and uncertain of cognition, 2-tuple linguistic representation method is introduced to model and manage this vague decision information given by DMs. Finally, a consensus reaching model for counter-intuitive result in D-S evidence theory is put forward. To verify the effectiveness of the proposed method, the selection of plant protection machine suppliers is modeled as a multi-criteria decision-making (MCDM) problem. According to the decision-making process, the best option for plant protection machine suppliers is obtained. The decision result indicates a strong correlation between the consistency value and conflicting value of evidence.","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4I9UCSI","journalArticle","","","A Choquet integral based interval Type-2 trapezoidal fuzzy multiple attribute group decision making for Sustainable Supplier Selection","","","","","","A new Choquet Integral based interval type-2 (IT2TrFS) trapezoidal fuzzy multiple attribute group decision making (GDM) for Sustainable Supplier Selection (SSS) is put forward in this article. It mainly consists of two aspects: (1) resolving the interaction between criteria (attributes); and (2) obtaining a consensual evaluation matrix acceptable to the group. The new partial order of IT2TrFS is proposed to better retain the original evaluation information of individual experts. Then, the Choquet integral with IT2TrFS is put forward to compute the criteria weight, so as to reflect interaction relationship between criteria. The distance of IT2TrFS is explored to calculate the consensus level, which is used to detect the inconsistencies among experts, and then a new feedback mechanism with considering benefit or cost criteria is developed to obtain the individual consensus evaluation matrix. Then, Shapley value based on fuzzy measure is used to determine weight of experts to reflect their global relationship. The final group evaluation matrix is obtained by integrating all individual consensus evaluation matrices. At last, a numerical case is presented to illustrate the effectiveness of the designed method.","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KFXVPMX","journalArticle","","","Green Supplier Selection Based on Consensus Process and Integrating Prioritized Operator and Choquet Integral","","","","","","Green supplier selection, as a core part of green supply chain management, has attracted the attention of various researchers in the past decade. Plenty of green supplier selection methods based on multi-criteria group decision-making have been presented in previous literature. However, these approaches ignore the consensus level between the experts, and they rarely consider the priority level among the experts and the interdependent relationship between criteria. To handle these issues, an integrated framework of green supplier selection under the hesitant fuzzy linguistic (HFL) environment was established. In this framework, the preference information expressed by HFL was transformed into the hesitant 2-tuple linguistic (H2TL). Then, the consensus process was introduced into the green supplier selection process to increase the consensus level between experts. The H2TL prioritized operator and Choquet integral operator were respectively applied to construct the group decision matrix and derive the ranking order of green suppliers. Finally, we used a numerical example to demonstrate the validity and applicability of the presented framework and implemented a comparative analysis to highlight the features of the presented method.","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJKWUJT5","journalArticle","","","Consensus driven preference analysis model for incomplete group decision making with the multiple criteria hierarchy process","","","","","","Most real-life group decision making issues involve incomplete assessments under hierarchical criteria due to limited knowledge and experience of decision makers, which entail diverse challenges including information filling, consensus reaching and preference fusion. To cope with them, an incomplete information-filling method is first presented based on the objective data and subjective willing. Then to improve the flexibility and compatibility, a novel group consensus measurement is defined based on the norm theory, which considers the influence of label preference ignored by the distance-based consensus measurements. Finally, differently from the existing group decision making methods that infer a consensus result through aggregating all individual preferences, this study develops a consensus driven preference analysis framework to derive the preference re-lationships among alternatives and further obtain the final ranking result using the representative value function. An application example of a sustainable supplier selection is carried out to illustrate the proposed methodology, and sensitivity and comparative analyses are performed to exhibit its flexibility and effectiveness.","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
