"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5FRALP2Y","journalArticle","","","Machine learning-based mathematical model for drugs and equipment resilient supply chain using blockchain","","","","10.1007/s10479-023-05761-0","","The world has been stuck in the prevailing COVID and another pandemic for the last three years which leads to the disruption in the medical equipment, drugs, Liquid Oxygen, and other essential goods supply chain. Essential drugs expire during transportation due to a lack of traceability, transparency, corrupt data, and high documentation works. This mismanagement escalates the disruption and shortages. Meanwhile, blockchain (BC) is the latest cutting-edge technology that comes up with the complete solution to disruption, shortages, fraud, poor quality, burglary in data, lack of transparency, lack of traceability, lack of security, cross-delivery, and adulteration. Therefore, blockchain technology can be seen as an opportunity that introduces resilience to the system. The proposed work focuses on optimising the digital procurement cost for significant supplier selection that keeps transparency, traceability, security, and complete information on the distributed ledger. Here, real-time and other aspects of BC, like authenticity, time, etc., are considered while computing the procurement cost in supplier selection problems. The total cost involved in the digital procurement process hinges on the block's authenticity that comes up through the miner's signals. The probability sampling method is used to generate the data for developing the ML-based model. Machine learning (ML) aggregates the value reported by the miners in real time for developing the authenticity (dependent) variables for supplier selection. Later, this real-time authenticity variable is utilised to formulate the mixed-integer nonlinear programming (MINLP) model for digital procurement problems. This MINLP model reduces the disruption and introduced resilience in the information flow system. Finally, LINGO 19.0 is used for optimising the total cost, and the integrated approach of ML is used for the computation of authenticity factor relationships amongst minors in it.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IR2YNT9Z","journalArticle","","","Green Supply Chain Optimization Based on BP Neural Network","","","","10.3389/fnbot.2022.865693","","With the emergence and development of the Back Propagation neural network (BPNN), its unique learning, generalization, and non-linear characteristics have been gradually excavated and fully applied in the field of prediction. To improve the economic and green benefits of enterprises, the BPNN algorithm is applied to the green supply chain assisted by intelligent logistics robots. The BPNN algorithm can be used to output the characteristics of different information and optimize the green supply chain according to the input parameters and the influencing factors in the network. Firstly, an evaluation index system is established for selecting suppliers, which includes 4 first-level indicators: operational indicators, economic indicators, green indicators, social indicators, and 14 corresponding secondary indicators. Secondly, the evaluation indicator system is modeled through the BPNN. Finally, using the BPNN model, a supply chain enterprise's selection of cooperative enterprises in Xi'an is taken as the research object and simulation. Finally, the output results of the five alternative enterprises are 0.77, 0.75, 0.68, 0.72, and 0.65, respectively. The enterprise with the highest output results is selected as the cooperative enterprise and the enterprise with the second highest output results as an alternate. The green supply chain model based on the proposed BPNN is scientific and effective through specific simulation experiments. It has certain reference significance for the relevant issues related to subsequent optimization of the green supply chain.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIEGW2PB","journalArticle","","","Multi-criteria group decision analytics for sustainable supplier relationship management in a focal manufacturing company","","","","10.1016/j.jclepro.2024.143690","","In the context of sustainable development, while the benefits of incorporating environmental, social, and governance (ESG) considerations into supplier management have been widely discussed in recent years, a significant gap in the literature remains. Specifically, there is a lack of a standardized decision analytics framework for ESG-oriented supplier relationship management (SRM) processes in the manufacturing sector. To address this gap, this study introduces a multi-criteria supplier analytics framework (MCSAF) towards sustainable SRM. Through referring traditional supplier evaluation criteria as well as emerging ESG criteria, a novel decision hierarchy for supplier segmentation is developed. The proposed system utilizes the Bayesian best-worst method and the Canopy-k-means clustering algorithm to formulate different supplier segments for strategic development. The proposed MCSAF has been successfully implemented in a German solar water pump manufacturer. The results show that the five highest-ranked criteria are 'Quality', 'Impact and importance on product quality and business growth', 'Environmental policy/management', 'Customer and product responsibility', and 'Risk and crisis management'. 52 suppliers are categorized into five segments, leading to the formulation of ESG-enabled supplier development strategies are subsequently formulated. The successful implementation of the MCSAF showcases its effectiveness in advancing ESG practices in sustainable supplier management.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UC8SL369","journalArticle","","","A hybrid fuzzy-quantum framework for optimized sustainable supplier selection","","","","","","This shows that personalized ranking is crucial to efficient supplier selection for sustainability because it includes social, economic, and environmental attributes in the decision-making process. To provide a solution for an efficient evaluation of suppliers, this study introduces the Equivariant. White shark Quantum Neural Network (EWSQNN) model for getting a personalized ranking of the sustainable supplier selection where weight settings are different and consider individual preferences. This system processes data from the Sustainable Supplier Selection Dataset using LGDN for preprocessing and IT for feature extraction. The Prairie Dog Optimization Algorithm (PDOA) takes this process one-step further and concentrates on identifying the most critical features. The EWSQNN enhances decision support because of the equivarient and quantum network features that enable the handling of conflict and uncertainty. The methodology used is comprehensive and generates a ranking of suppliers based on sustainability performance tailored for an organization by means of multi-criteria decision-making techniques.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J4QSYACD","journalArticle","","","A Decision Support System for Classifying Suppliers Based on Machine Learning Techniques: A Case Study in the Aeronautics Industry","","","","10.3390/computers14070271","","This paper presents the application of four machine learning algorithms to segment suppliers in a real case. The algorithms used were K-Means, Hierarchical K-Means, Agglomerative Nesting (AGNES), and Fuzzy Clustering. The analyzed company has suppliers that have been clustered using responses such as the number of non-conformities, location, and quantity supplied, among others. The CRISP-DM methodology was used for the work development. The proposed methodology is important for both industry and academia, as it helps managers make decisions about the quality of their suppliers and compares the use of four different algorithms for this purpose, which is an important insight for new studies. The K-Means algorithm obtained the best performance both for the metrics obtained and the simplicity of use. It is important to highlight that no studies to date have been conducted using the four algorithms proposed here applied in an industrial case, and this work shows this application. The use of artificial intelligence in industry is essential in this Industry 4.0 era for companies to make decisions, i.e., to have ways to make better decisions using data-driven concepts.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTRK4YF7","journalArticle","","","MOSS SOFTWARE: A NEW TOOL FOR MULTI-OBJECTIVE GREEN SUPPLIER SELECTION","","","","10.23055/ijietap.2022.29.2.5903","","Competition between companies is getting more intense by the day. Corporations need to decrease costs while improving the quality and reliability of their deliveries. Meanwhile, the demand for environmentally sustainable products and operations is increasing. These issues are all compounded by the supplier relations between companies and their need to develop better economic and environmental supply chain contracts. This research thus aims to propose a tool, i.e., the MOSS Software, concerning the total cost, rate of defected materials, rate of late deliveries, and environmental improvement potential for suppliers. MOSS is a two-stage software. First, the objectives are included in a multi-objective evolutionary mathematical model, and the model is solved using the NSGA-III algorithm. In the second stage, as a post-Pareto analysis approach, the k means algorithm is used for selecting representative solutions among Pareto sets by comparing silhouette values for different k values. An application of the MOSS software is also presented in this paper.","","2026-01-27 19:09:58","2026-01-27 19:09:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673P5VXQ","journalArticle","","","Smart TOPSIS: A Neural Network-Driven TOPSIS with Neutrosophic Triplets for Green Supplier Selection in Sustainable Manufacturing","","","","10.1016/j.eswa.2024.124744","","Decision-making in complex environments requires advanced methodologies to manage uncertainty and indeterminacy effectively. This research introduces a novel decision-making framework that integrates the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) with Neutrosophic Triplets (NTs) to address the limitations of decision-making methods in handling indeterminate information. By incorporating a frequency analysis-based ranking strategy and leveraging neural network-driven machine learning, the proposed method significantly enhances the accuracy and computational efficiency of the decision-making process. The necessity of this research stems from the growing complexity of multi-attribute decision-making (MADM) scenarios where traditional methods fall short in accurately ranking alternatives under uncertainty. The novelty lies in integrating NTs with a machine-learning approach, providing a more flexible and robust framework for MADM. The proposed method's contributions are demonstrated through its application in green supplier selection, a critical area in sustainable supply chain management. The results reveal that the smart TOPSIS method improves decision accuracy and reduces computational complexity, making it a viable tool for broader applications. Although the proposed methodology is primarily applied to green supplier selection management, it can also be extended to real-world scenarios in various research fields.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPBHKPMM","journalArticle","","","A neural feature extraction model for classification of firms and prediction of outsourcing success: advantage of using relational sources of information for new suppliers","","","","10.1080/00207543.2016.1174342","","Clustering is a family of classification techniques, often preceding further analysis or application in a number of fields like data analysis, strategy selection, supplier selection, etc. Data based neural techniques are gaining popularity in clustering applications due to flexibility and adaptability. Kohonen's Self Organizing Map (SOM) is often used when the objects to be clustered have many attributes. In both supervised and un-supervised modes, Kohonen's map exhibit good capability to extract a classification which assigns highest weight to the most important attribute. In this paper, we have applied SOM for classification of firms based on their sources of information for new suppliers/customers. Additional data regarding the outsourcing success of the firms' is added to see if there is an association between a particular set of information sources and the probability of firms' success to outsource to partner firms. Using data from World Bank BEEPS survey of German industries, we could produce three distinct clusters of industries. When successful outsourcing data were included, it still showed three clusters. The hits were obtained using specific support vector for identification of clusters. We found evidence of associations between relational sources and firms' ability to outsource successfully.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDR8V4RC","journalArticle","","","A supplier selection model for hospitals using a combination of artificial neural network and fuzzy VIKOR","","","","10.1080/20479700.2017.1404730","","The supply chain management of medical equipment and consumer goods is full of uncertainties and unexpected issues and one of the major challenges of hospitals is the suppliers' evaluation and selection. study aimed to provide a model for selecting the best supplier in a hospital using a combination of artificial neural network and fuzzy VIKOR. This was a descriptive study conducted in a military hospital in three phases in 2016. The results showed that the most effective factor in supplier selection was 'quality' (weight = 0.165). After that, the highest weights were, respectively, related to 'price', 'timely delivery', 'packaging and transporting quality', 'the supplier's background' and 'payment terms'. According to the results of the present study, the most important factor influencing the supplier selection was 'quality'. Given the direct impact of medical equipment and consumer goods on patients' recovery and nurses and physicians' proper functioning and performance, it can be recommended that the hospital managers and the staff of purchasing unit should develop the quality assessment protocol of equipment and supplies and it should be evaluated periodically by nurses, physicians and patients.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LGNRYLK","journalArticle","","","Optimization of Biomass Delivery Through Artificial Intelligence Techniques","","","","10.3390/en18185028","","Efficient and cost-effective biomass logistics remain a significant challenge due to the dynamic and nonlinear nature of supply chains, as well as the scarcity of comprehensive data on this topic. As biomass plays an increasingly important role in sustainable energy systems, managing its complex supply chains efficiently is crucial. Traditional logistics methods often struggle with the dynamic, nonlinear, and data-scarce nature of biomass supply, especially when integrating local and international sources. To address these challenges, this study aims to develop an innovative modular artificial neural network (ANN)-based Biomass Delivery Management (BDM) model to optimize biomass procurement and supply for a fluidized bed combined heat and power (CHP) plant. The comprehensive model integrates technical, economic, and geographic parameters to enable supplier selection, optimize transport routes, and inform fuel blending strategies, representing a novel approach in biomass logistics. A case study based on operational data confirmed the model's ability to identify cost-effective and quality-compliant biomass sources. Evaluated using empirical operational data from a Polish CHP plant, the ANN-based model demonstrated high predictive accuracy (MAE = 0.16, MSE = 0.02, R2 = 0.99) within the studied scope. The model effectively handled incomplete datasets typical of biomass markets, aiding in supplier selection decisions and representing a proof-of-concept for optimizing Central European biomass logistics. The model was capable of generalizing supplier recommendations based on input variables, including biomass type, unit price, and annual demand. The proposed framework supports both strategic and real-time logistics decisions, providing a robust tool for enhancing supply chain transparency, cost efficiency, and resilience in the renewable energy sector. Future research will focus on extending the dataset and developing hybrid models to strengthen supply chain stability and adaptability under varying market and regulatory conditions.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
